tweet_id,favorites,retweets
855459453768019968,28362,7710
855245323840757760,0,5577
855138241867124737,0,41
854732716440526848,21692,5692
854482394044301312,27873,6422
854365224396361728,18027,4415
854120357044912130,30561,7014
854010172552949760,15529,2970
853760880890318849,27331,5437
853639147608842240,33118,9428
853299958564483072,14838,3357
852936405516943360,0,1875
852912242202992640,8632,1703
852672615818899456,14310,2044
852553447878664193,15607,3282
852311364735569921,31800,9420
852226086759018497,19211,6500
852189679701164033,11021,1509
851861385021730816,0,19
851591660324737024,15662,3292
851464819735769094,23325,6714
851224888060895234,19919,5468
850753642995093505,29610,8631
850380195714523136,12641,2476
850333567704068097,3332,311
850145622816686080,15738,3612
850019790995546112,19685,4640
849776966551130114,29293,7225
849668094696017920,0,4732
849412302885593088,15324,3001
849336543269576704,11029,1804
849051919805034497,40865,8074
848690551926992896,24340,4141
848324959059550208,23895,4423
848213670039564288,7896,688
848212111729840128,15780,2888
847978865427394560,0,3121
847971574464610304,0,420
847962785489326080,22776,4853
847842811428974592,5244,1263
847617282490613760,6762,393
847606175596138505,18183,3280
847251039262605312,19866,4141
847157206088847362,19249,5611
847116187444137987,20805,3052
846874817362120707,19446,3760
846514051647705089,43209,11062
846505985330044928,13682,2940
846153765933735936,30595,8663
846139713627017216,30119,9664
846042936437604353,15502,2746
845812042753855489,28343,8334
845677943972139009,24469,4623
845397057150107648,7392,1717
845306882940190720,22658,5171
845098359547420673,0,7367
844979544864018432,13257,2446
844973813909606400,14618,3049
844580511645339650,16007,2993
844223788422217728,13300,2099
843981021012017153,14780,2846
843856843873095681,20871,4439
843604394117681152,16440,2635
843235543001513987,20940,5789
842846295480000512,14891,3502
842765311967449089,6552,1218
842535590457499648,17669,3387
842163532590374912,23820,5577
842115215311396866,13618,2913
841833993020538882,0,14493
841680585030541313,25153,7566
841439858740625411,12321,3546
841320156043304961,19329,5326
841314665196081154,15461,4485
841077006473256960,22308,5130
840761248237133825,0,1706
840728873075638272,0,15511
840698636975636481,172,2
840696689258311684,11987,942
840632337062862849,8786,1706
840370681858686976,16062,4407
840268004936019968,18809,5547
839990271299457024,13143,2202
839549326359670784,26838,7510
839290600511926273,0,139
839239871831150596,26502,6321
838952994649550848,19226,3874
838921590096166913,10882,1982
838916489579200512,0,33
838831947270979586,0,10683
838561493054533637,10739,1290
838476387338051585,21989,4618
838201503651401729,0,9738
838150277551247360,1631,323
838085839343206401,138,1
838083903487373313,17269,3027
837820167694528512,33354,7621
837482249356513284,3782,431
837471256429613056,12532,2200
837110210464448512,15717,2301
836989968035819520,12503,2242
836753516572119041,18976,4519
836677758902222849,12390,2170
836648853927522308,0,536
836397794269200385,0,26741
836380477523124226,14495,2908
836260088725786625,20916,4197
836001077879255040,18722,4150
835685285446955009,0,7921
835574547218894849,17468,3521
835536468978302976,0,1646
835309094223372289,0,20385
835297930240217089,16176,2920
835264098648616962,7580,1646
835246439529840640,2060,71
835172783151792128,25709,5617
835152434251116546,21949,2917
834931633769889797,10598,1586
834786237630337024,21048,5379
834574053763584002,13402,2456
834477809192075265,0,10374
834458053273591808,9465,1637
834209720923721728,20183,4628
834167344700198914,15550,3573
834089966724603904,9860,2081
834086379323871233,12841,2150
833863086058651648,13210,2350
833826103416520705,17778,3684
833732339549220864,0,217
833722901757046785,20492,3152
833479644947025920,14626,1993
833124694597443584,19860,4732
832998151111966721,13027,2139
832769181346996225,0,38
832757312314028032,16605,3529
832682457690300417,11675,2845
832645525019123713,2883,521
832636094638288896,15606,2720
832397543355072512,11783,2158
832369877331693569,16885,3121
832273440279240704,11148,2278
832215909146226688,0,6066
832215726631055365,0,9113
832088576586297345,62,2
832040443403784192,0,9375
832032802820481025,17578,4560
831939777352105988,23589,5994
831926988323639298,330,34
831911600680497154,27147,6349
831670449226514432,10260,1772
831650051525054464,7003,1875
831552930092285952,8834,2269
831322785565769729,9137,1520
831315979191906304,6439,1102
831309418084069378,11592,2411
831262627380748289,11724,1994
830956169170665475,7873,1462
830583320585068544,65755,16377
